Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-2421;"Виходи гранато-біотитових
гранітів";"Vykhody hranato-biotytovykh
hranitiv";геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°47'1""";"E 27°28'47"""
П-2423;Виходи травертинів;Vykhody travertyniv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Дунаєвецький;"N 48°52'18""";"E 27°6'17"""
П-2439;Плужнянська;Pluzhnianska;зоологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°12'0""";"E 26°35'34"""
П-2482;Адамців гай;Adamtsiv hai;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°4'26""";"E 27°22'5"""
П-2495;Гранітні відслонення;Hranitni vidslonennia;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Старосинявський;"N 49°31'52""";"E 27°45'53"""
П-2501;Зразок чорнокітових гранітів;Zrazok chornokitovykh hranitiv;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Летичівський;"N 49°23'50""";"E 27°20'28"""
П-2516;Богданів гайок;Bohdaniv haiok;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°0'36""";"E 27°20'8"""
П-2520;Венеція;Venetsiia;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°39'33""";"E 27°11'23"""
П-2521;Гірчуків гайок;Hirchukiv haiok;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°1'46""";"E 27°20'51"""
П-2527;Плужнянський;Pluzhnianskyi;парк;місцевого значення;Хмельницька обл.;р-н Ізяславський;"N 50°10'43""";"E 26°35'9"""
П-2533;Райковецький;Raikovetskyi;парк;місцевого значення;Хмельницька обл.;р-н Хмельницький;"N 49°19'44""";"E 26°44'15"""
П-2542;Кордієрито-гранатові граніти;Kordiieryto-hranatovi hranity;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°8'56""";"E 27°31'46"""
П-2557;Жердя;Zherdia;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Теофіпольський;"N 49°45'5""";"E 26°20'28"""
П-2559;Завадське;Zavadske;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°11'50""";"E 27°33'20"""
П-2561;Калюсецька гора;Kaliusetska hora;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Віньковецький;"N 48°59'23""";"E 27°16'10"""
П-2566;Скаржинецький;Skarzhynetskyi;парк;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°19'6""";"E 26°55'51"""
П-2579;Мезозой крейдяного періоду;Mezozoi kreidianoho periodu;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Білогірський;"N 50°0'42""";"E 26°25'34"""
П-2597;Лісок Громадський;Lisok Hromadskyi;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°4'21""";"E 27°16'27"""
П-2598;Левківська;Levkivska;комплексна пам'ятка природи;місцевого значення;Хмельницька обл.;"р-н
Старокостянтинівський";"N 49°47'43""";"E 27°32'40"""
П-2614;Пегматидна жила;Pehmatydna zhyla;геологічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Шепетівський;"N 50°14'13""";"E 27°6'14"""
П-2677;Дубинка;Dubynka;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;р-н Полонський;"N 50°11'24""";"E 27°34'40"""
П-2700;Скеля;Skelia;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°12'5""";"E 26°33'38"""
П-2705;Товтра Самовита;Tovtra Samovyta;ботанічна пам'ятка природи;загальнодержавного значення;Хмельницька обл.;р-н Чемеровецький;"N 48°58'23""";"E 26°26'41"""
П-2715;Сквер ім. Т.Г. Шевченка;Skver im. T.h. Shevchenka;парк;місцевого значення;Хмельницька обл.;Хмельницька міськрада;"N 49°25'26""";"E 26°59'4"""
П-2727;Козацький яр;Kozatskyi yar;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Городоцький;"N 49°10'45""";"E 26°36'5"""
П-2728;Козачки;Kozachky;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Летичівський;"N 49°17'56""";"E 27°36'6"""
П-2766;Корнаківський ліс;Kornakivskyi lis;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Ярмолинецький;"N 49°0'33""";"E 27°3'24"""
П-2861;Озеро Святе;Ozero Sviate;гідрологічна пам'ятка природи;загальнодержавного значення;Хмельницька обл.;р-н Ізяславський;"N 50°13'1""";"E 26°50'10"""
П-2888;Липник;Lypnyk;заповідне урочище;місцевого значення;Хмельницька обл.;р-н Деражнянський;"N 49°9'19""";"E 27°25'28"""
П-291;Іванковецький;Ivankovetskyi;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;р-н Городоцький;"N 49°10'54""";"E 26°12'41"""
П-2914;Бук червоний;Buk chervonyi;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;Хмельницька міськрада;"N 49°25'46""";"E 26°58'17"""
П-2915;Бук червоний;Buk chervonyi;ботанічна пам'ятка природи;місцевого значення;Хмельницька обл.;Хмельницька міськрада;"N 49°25'49""";"E 26°58'1"""
П-292;Княжпільський;Kniazhpilskyi;заказник ландшафтний;загальнодержавного значення;Хмельницька обл.;"р-н Кам'янець-
Подільський";"N 48°42'6""";"E 26°47'11"""
П-2943;Сатанівська перлина;Satanivska perlyna;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Хмельницька обл.;р-н Городоцький;"N 49°15'13""";"E 26°15'17"""
