Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-493;Катеринівська балка;Katerynivska balka;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°4'24""";"E 32°51'16"""
П-495;Квітуча балка;Kvitucha balka;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новгородківський;"N 48°22'2""";"E 32°36'30"""
П-5200;Калмазівське;Kalmazivske;заповідне урочище;місцевого значення;Кіровоградська обл.;р-н Вільшанський;"N 48°11'5""";"E 30°52'56"""
П-542;Балка Троянівська;Balka Troianivska;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°47'28""";"E 31°30'52"""
П-550;Блакитний льон;Blakytnyi lon;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°11'18""";"E 32°47'25"""
П-565;Василівська балка;Vasylivska balka;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°15'8""";"E 32°49'37"""
П-576;Волова балка;Volova balka;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новгородківський;"N 48°19'14""";"E 32°36'39"""
П-602;Роза;Roza;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Устинівський;"N 48°5'52""";"E 32°36'59"""
П-657;Цілина;Tsilyna;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Долинський;"N 48°10'23""";"E 32°52'34"""
П-713;Острів;Ostriv;заказник ботанічний;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°43'37""";"E 31°19'5"""
П-747;Окіп;Okip;заказник лісовий;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°54'56""";"E 31°49'54"""
П-815;Балка Бонче;Balka Bonche;заказник лісовий;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°54'0""";"E 31°50'14"""
П-861;Коробчино;Korobchyno;заказник лісовий;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°44'59""";"E 31°31'45"""
П-870;Ліс Охотовича;Lis Okhotovycha;заказник лісовий;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°44'25""";"E 31°55'45"""
П-879;Луки;Luky;заказник лісовий;місцевого значення;Кіровоградська обл.;р-н Новомиргородський;"N 48°55'22""";"E 31°51'6"""
П-99;Хутір Надія;Khutir Nadiia;"парк-пам'ятка садово-паркового
мистецтва";загальнодержавного значення;Кіровоградська обл.;р-н Кіровоградський;"N 48°29'35""";"E 31°54'50"""
