Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративний статус;Адміністративно-територіальна одиниця (АР Крим, область);Район;Широта;Довгота
П-3522;Кам'янський лісовий масив;Kamianskyi lisovyi masyv;заказник ландшафтний;місцевого значення;Запорізька обл.;"р-н Кам'янсько-
Дніпровський";"N 47°30'24""";"E 34°23'2"""
П-354;Острів Таволжанін;Ostriv Tavolzhanin;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 48°4'45""";"E 35°4'32"""
П-3588;Балка Берда;Balka Berda;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°15'24""";"E 36°31'58"""
П-3591;Великі та Малі Кучугури;Velyki ta Mali Kuchuhury;заказник орнітологічний;загальнодержавного значення;Запорізька обл.;р-н Василівський;"N 47°32'56""";"E 35°12'29"""
П-3593;Сосновий бір Куліша;Sosnovyi bir Kulisha;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Веселівський;"N 46°55'33""";"E 35°0'12"""
П-3594;"Ставки з лісонасадженнями
навколо";"Stavky z lisonasadzhenniamy
navkolo";заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Приморський;"N 47°1'58""";"E 36°28'57"""
П-3615;Урочище Мала Токмачка;Urochyshche Mala Tokmachka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°34'10""";"E 35°54'51"""
П-3616;Балка Вовча;Balka Vovcha;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Бердянський;"N 46°57'21""";"E 36°53'29"""
П-3617;Балка Засоріна;Balka Zasorina;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Бердянський;"N 46°56'44""";"E 36°54'13"""
П-3620;Балка Чуграєва;Balka Chuhraieva;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°33'44""";"E 35°35'33"""
П-3633;Віковий дуб;Vikovyi dub;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°50'26""";"E 35°4'47"""
П-3649;Балка біля ставка;Balka bilia stavka;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Бердянський;"N 46°56'40""";"E 36°33'36"""
П-3655;Урочище Олень;Urochyshche Olen;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°41'4""";"E 35°1'52"""
П-3656;Цілинна ділянка No3;Tsilynna dilianka No3;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 47°51'26""";"E 35°40'45"""
П-3657;"Цілинна ділянка в гирлі р.
Арабка";Tsilynna dilianka v hyrli r. Arabka;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°53'27""";"E 35°28'16"""
П-3659;Балка Антонівка;Balka Antonivka;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Розівський;"N 47°30'38""";"E 37°0'11"""
П-3689;Дніпровські пороги;Dniprovski porohy;заказник геологічний;загальнодержавного значення;Запорізька обл.;Запорізька міськрада;"N 47°51'43""";"E 35°4'40"""
П-3691;Балка Губинська;Balka Hubynska;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 48°6'24""";"E 35°14'42"""
П-3694;"Вікове дерево клену
гостролистого";"Vikove derevo klenu
hostrolystoho";ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Бердянська міськрада;"N 46°47'38""";"E 36°46'32"""
П-3697;Віковий дуб черешчатий;Vikovyi dub chereshchatyi;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 47°1'10""";"E 35°28'13"""
П-3707;Вікове дерево горіха грецького;Vikove derevo horikha hretskoho;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Бердянська міськрада;"N 46°48'58""";"E 36°47'43"""
П-373;Захарівська фортеця;Zakharivska fortetsia;комплексна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Бердянський;"N 47°3'48""";"E 36°58'56"""
П-3736;Дуб черешчатий;Dub chereshchatyi;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°55'49""";"E 35°28'50"""
П-3737;Віковий дуб черешчатий;Vikovyi dub chereshchatyi;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°48'50""";"E 35°59'36"""
П-3741;Лісопитомник;Lisopytomnyk;парк;місцевого значення;Запорізька обл.;"Мелітопольська
міськрада";"N 46°52'18""";"E 35°24'40"""
П-3761;Кам'яна могила над р.Молочна;Kamiana mohyla nad r.molochna;геологічна пам'ятка природи;загальнодержавного значення;Запорізька обл.;р-н Мелітопольський;"N 46°53'30""";"E 35°26'7"""
П-3777;Балка Гадюча;Balka Hadiucha;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°56'30""";"E 35°2'21"""
П-3778;Балка Гайчур;Balka Haichur;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°25'5""";"E 36°40'43"""
П-3779;Балка Голубівка;Balka Holubivka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 47°53'8""";"E 36°4'33"""
П-3794;Лубенцівський;Lubentsivskyi;заказник загальнозоологічний;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 48°3'5""";"E 35°43'1"""
П-3798;Дальні Макорти;Dalni Makorty;ботанічна пам'ятка природи;місцевого значення;Запорізька обл.;Бердянська міськрада;"N 46°48'47""";"E 36°50'43"""
П-3813;Балка Більманка;Balka Bilmanka;заказник ентомологічний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°16'15""";"E 36°38'55"""
П-3850;Балка Сухі Яли;Balka Sukhi Yaly;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Розівський;"N 47°23'58""";"E 36°58'49"""
П-3851;Балка Трушевська;Balka Trushevska;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°39'2""";"E 35°0'24"""
П-3852;Балка Янчур;Balka Yanchur;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Більмацький;"N 47°32'37""";"E 36°42'23"""
П-3858;"Змішаний листяний ліс із
залишками ковильно-
типчакового степу";"Zmishanyi lystianyi lis iz
zalyshkamy kovylno-
typchakovoho stepu";заказник ландшафтний;місцевого значення;Запорізька обл.;"р-н Кам'янсько-
Дніпровський";"N 47°24'13""";"E 34°17'58"""
П-3865;Балка Виноградна;Balka Vynohradna;заказник ботанічний;місцевого значення;Запорізька обл.;Запорізька міськрада;"N 47°45'32""";"E 35°13'57"""
П-3866;Балка Вовча;Balka Vovcha;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°36'43""";"E 34°59'16"""
П-3870;Заплава річки Малий Утлюк;Zaplava richky Malyi Utliuk;заказник ландшафтний;місцевого значення;Запорізька обл.;р-н Якимівський;"N 46°31'22""";"E 35°11'25"""
П-3876;Балка Тупік;Balka Tupik;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°25'0""";"E 35°15'50"""
П-3885;Цілющі джерела;Tsiliushchi dzherela;парк;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°58'3""";"E 35°26'13"""
П-3919;Урочище Преображенське;Urochyshche Preobrazhenske;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°34'48""";"E 35°49'57"""
П-3929;Схил балки;Skhyl balky;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Василівський;"N 47°26'25""";"E 35°24'59"""
П-3930;Каштанівський;Kashtanivskyi;заказник загальнозоологічний;місцевого значення;Запорізька обл.;р-н Новомиколаївський;"N 48°3'46""";"E 35°48'59"""
П-3931;Цілинна балка;Tsilynna balka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Приморський;"N 46°49'27""";"E 36°11'56"""
П-3932;Цілинна балка;Tsilynna balka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Запорізький;"N 47°56'5""";"E 34°58'19"""
П-3933;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°45'4""";"E 36°6'54"""
П-3934;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Гуляйпільський;"N 47°37'19""";"E 36°42'15"""
П-3937;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°48'12""";"E 35°23'32"""
П-3938;Цілинна ділянка;Tsilynna dilianka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Мелітопольський;"N 46°44'29""";"E 35°21'3"""
П-3984;Юрковський лиман;Yurkovskyi lyman;заповідне урочище;місцевого значення;Запорізька обл.;р-н Оріхівський;"N 47°41'33""";"E 35°37'24"""
П-4001;Цілинна балка;Tsilynna balka;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Пологівський;"N 47°26'47""";"E 35°59'27"""
П-4002;Цілинна балка Вербова;Tsilynna balka Verbova;заказник ботанічний;місцевого значення;Запорізька обл.;р-н Вільнянський;"N 47°58'24""";"E 35°15'52"""
