Реєстраційний номер;Унормована назва;Унормована назва латиницею;Вид географічного об'єкту;Адміністративно- територіальна одиниця (АР Крим, область);Район;Широта;Довгота
Ф-4238;Малий Клобук;Malyi Klobuk;гора;Закарпатська обл.;р-н Іршавський;"N 48° 19’ 22""";"E 23° 15’ 50"""
Ф-36925;Деберчик;Deberchyk;гора;Закарпатська обл.;р-н Рахівський;"N 48° 19’ 23""";"E 24° 23’ 0"""
Ф-1605;Глисна;Hlysna;потік;Закарпатська обл.;;"N 48° 19’ 25""";"E 23° 35’ 50"""
Ф-1392;Хрін;Khrin;потік;Закарпатська обл.;;"N 48° 19’ 25""";"E 23° 8’ 10"""
Ф-1393;Перекіп;Perekip;потік;Закарпатська обл.;;"N 48° 19’ 25""";"E 23° 8’ 10"""
Ф-4284;Тисчорський Ґрунь;Tyschorskyi Grun;гора;Закарпатська обл.;р-н Рахівський;"N 48° 19’ 26""";"E 24° 11’ 7"""
Ф-3324;Білка;Bilka;потік;Закарпатська обл.;;"N 48° 19’ 26""";"E 23° 8’ 10"""
Ф-32381;Шандриаська;Shandryaska;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 28""";"E 24° 5’ 51"""
Ф-27101;Прислоп;Pryslop;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 29""";"E 23° 50’ 42"""
Ф-15176;Прислоп;Pryslop;гора;Закарпатська обл.;Тячівський р-н;"N 48° 19’ 29""";"E 23° 50’ 42"""
Ф-4239;Присліп;Pryslip;гора;Закарпатська обл.;р-н Хустський;"N 48° 19’ 30""";"E 23° 29’ 0"""
Ф-1394;Ільничка;Ilnychka;потік;Закарпатська обл.;;"N 48° 19’ 30""";"E 23° 2’ 20"""
Ф-7865;Климова;Klymova;гора;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 32""";"E 23° 51’ 44"""
Ф-4283;Шаса;Shasa;хребет;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 32""";"E 24° 5’ 24"""
Ф-37422;Погарський;Poharskyi;полонина;Закарпатська обл.;р-н Рахівський;"N 48° 19’ 34""";"E 24° 18’ 19"""
Ф-34746;Чертория;Chertoryia;урочище;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 38""";"E 23° 52’ 13"""
Ф-38405;Лак;Lak;гора;Закарпатська обл.;р-н Хустський;"N 48° 19’ 38""";"E 23° 33’ 32"""
Ф-37359;Шаса;Shasa;урочище;Закарпатська обл.;р-н Тячівський;"N 48° 19’ 4""";"E 24° 3’ 33"""
Ф-11859;Діброва;Dubrava;урочище;Закарпатська обл.;р-н Іршавський;"N 48° 19’ 40""";"E 23° 5’ 55"""
