Реєстраційний номер	Унормована назва	Унормована назва латиницею	Вид географічного об'єкту	Адміністративно- територіальна одиниця (АР Крим, область)	Район	Широта	Довгота
Ф-32735	Томашеве	Tomasheve	урочище	Рівненська обл.	р-н Радивилівський	"N 50° 19’ 14"""	"E 25° 13’ 24"""
Ф-32746	Тонкий Ріг	Tonkyi Rih	урочище	Рівненська обл.	р-н Дубровицький	"N 51° 37’ 8"""	"E 26° 46’ 24"""
Ф-3275	Гузьке	Huzke	річка	Рівненська обл.		"N 51° 45’ 49"""	"E 26° 42’ 40"""
Ф-32788	Чисте Болото	Chyste Boloto	урочище	Рівненська обл.	р-н Володимирецький	"N 51° 25’ 6"""	"E 26° 15’ 43"""
Ф-3279	Миляцьке	Myliatske	озеро	Рівненська обл.		"N 51° 40’ 32"""	"E 26° 14’ 10"""
Ф-32812	Фастове	Fastove	урочище	Рівненська обл.	р-н Березнівський	"N 51° 3’ 50"""	"E 26° 58’ 16"""
Ф-3283	Золотуха	Zolotukha	болото	Рівненська обл.		"N 51° 40’ 21"""	"E 26° 54’ 29"""
Ф-32851	Чистець	Chystets	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 38’ 19"""	"E 27° 9’ 4"""
Ф-32880	Холодне	Kholodne	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 4"""	"E 27° 16’ 16"""
Ф-32885	Суховилка	Sukhovylka	урочище	Рівненська обл.	р-н Демидівський	"N 50° 30’ 9"""	"E 25° 18’ 47"""
Ф-3291	Оскуп`є	Oskupie	озеро	Рівненська обл.		"N 51° 38’ 30"""	"E 26° 44’ 20"""
Ф-32927	Гало	Halo	урочище	Рівненська обл.	р-н Рокитнівський	"N 51° 26’ 2"""	"E 27° 22’ 5"""
Ф-32944	Ями	Yamy	урочище	Рівненська обл.	р-н Зарічненський	"N 51° 50’ 4"""	"E 25° 40’ 56"""
Ф-32972	Хрінники	Khrinnyky	урочище	Рівненська обл.	р-н Демидівський	"N 50° 25’ 10"""	"E 25° 13’ 55"""
Ф-32996	Гулина Гора	Hulyna Hora	урочище	Рівненська обл.	р-н Сарненський	"N 51° 11’ 6"""	"E 26° 42’ 43"""
